PROVEEDOR,ID,TOTAL_REGISTROS,STATUS,FECHA_EJECUCION
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Aguascalientes,SESEA_AGUASCALIENTES,203302,Success,2025-02-06T00:45:01.640Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción del Estado de Jalisco,SESEA_JALISCO,529491,Success,2025-02-06T00:45:24.162Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Guanajuato,GUANAJUATO,19078,Success,2025-02-06T00:44:58.687Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción del Estado México,EDOMEX,112487,Success,2025-02-06T00:45:10.640Z
Secretaría Ejecutiva del Sistema Anticorrupción de Zacatecas,ZACATECAS,157683,Success,2025-02-06T00:44:57.601Z
Secretaría Ejecutiva del Sistema Anticorrupción del Estado de Tlaxcala,TLAXCALA,61398,Success,2025-02-06T00:44:58.614Z
Secretaría Ejecutiva del Sistema Anticorrupción del Estado de Quintana Roo,QUINTANAROO,310956,Success,2025-02-06T00:45:03.257Z
Secretaría Ejecutiva Del Sistema Estatal Anticorrupción Tabasco,TABASCO,200,Success,2025-02-06T00:44:57.401Z
Secretaría Ejecutiva del Sistema Anticorrupción de San Luis Potosí,SANLUISPOTOSI,96038,Success,2025-02-06T00:45:00.080Z
Secretaría Ejecutiva Sistema Estatal Anticorrupción de Baja California Sur,BajaCaliforniaSur,131578,Success,2025-02-06T00:45:02.517Z
Secretaría Ejecutiva Sistema Estatal Anticorrupción de Chihuahua,Chihuahua,No disponible,Request failed with status code 500,2025-02-06T00:44:56.947Z
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",INAI,4934,Success,2025-02-06T00:44:58.954Z
Secretaría Ejecutiva del Sistema Anticorrupción del Estado de Chiapas,Chiapas,61640,Success,2025-02-06T00:45:03.678Z
Instituto Nacional Electoral,INE,219356,Success,2025-02-06T00:45:22.207Z
Secretaría Ejecutiva del Sistema Local Anticorrupción del Estado de Nayarit,SESLAN,6317,Success,2025-02-06T00:44:57.806Z
Secretaría Ejecutiva del Sistema Estatal Anticorrupción del Estado de Michoacán,SESEAM,16252,Success,2025-02-06T00:44:57.475Z
Secretaría Ejecutiva del Sistema Anticorrupción del Estado de Morelos,SAEM,22693,Success,2025-02-06T00:45:05.716Z
Secretaría Ejecutiva del Sistema Anticorrupción del Estado de Guerrero,SESAEG,99,Success,2025-02-06T00:44:57.520Z
Comisión Nacional de los Derechos Humanos,CNDH,10520,Success,2025-02-06T00:44:58.974Z
Secretaría de la Función Pública,SFP,No disponible,connect ETIMEDOUT 10.151.2.181:5001,2025-02-06T00:47:10.811Z
Secretaría Ejecutiva del Sistema Estatal y Municipal Anticorrupción del Estado de Sinaloa,SESEA_SINALOA,1252,Success,2025-02-06T00:45:01.955Z
Secretaria Ejecutiva del Sistema Anticorrupción de Baja California,SESEA_BAJA_CALIFORNIA,79,Success,2025-02-06T00:44:57.575Z
